Index,Image,Output
1,198641,Yes
2,97494,Yes
3,148936,No
4,61789,No
5,207911,Yes
6,26681,No
7,93194,No
8,102514,No
9,160680,Yes
10,150867,Yes
11,93892,Yes
12,117425,Yes
13,101314,No
14,197212,Yes
15,96112,No
16,95567,No
17,191006,Yes
18,66713,No
19,37614,Yes
20,117876,Yes
21,84660,No
22,122181,Yes
23,83860,Yes
24,137525,No
25,38898,Yes
26,6846,No
27,105878,Yes
28,50721,Yes
29,3882,No
30,187224,No
31,182911,No
32,94401,Yes
33,83822,Yes
34,177033,No
35,141013,No
36,130828,No
37,165331,Yes
38,74074,Yes
39,110751,Yes
40,96455,Yes
41,121404,Yes
42,33584,No
43,8693,No
44,198822,Yes
45,61917,No
46,185325,No
47,92497,No
48,116341,Yes
49,176891,Yes
50,16064,No
51,92034,Yes
52,134440,No
53,156110,Yes
54,148800,Yes
55,158403,No
56,16654,No
57,42197,No
58,198327,Yes
59,25899,No
60,176707,Yes
61,57480,Yes
62,135862,Yes
63,80392,Yes
64,159600,Yes
65,141909,Yes
66,67266,No
67,112762,No
68,187672,Yes
69,112306,No
70,125256,Yes
71,22936,No
72,134070,Yes
73,94004,Yes
74,110648,No
75,3773,No
76,48195,No
77,29942,No
78,179758,Yes
79,113512,No
80,140255,Yes
81,68873,Yes
82,114986,Yes
83,111701,No
84,190520,Yes
85,174927,Yes
86,118062,Yes
87,138327,Yes
88,80771,Yes
89,101023,Yes
90,152640,Yes
91,204440,Yes
92,125050,Yes
93,143879,Yes
94,36546,No
95,202095,Yes
96,153017,No
97,169805,No
98,185472,No
99,65081,No
100,174205,Yes
101,201558,No
102,156569,Yes
103,17566,No
104,85896,No
105,25217,No
106,33380,Yes
107,5783,No
108,200886,Yes
109,178601,Yes
110,148526,Yes
111,157014,Yes
112,75864,Yes
113,133643,Yes
114,116695,Yes
115,14855,No
116,57009,Yes
117,208730,Yes
118,53079,Yes
119,194087,Yes
120,83603,Yes
121,100375,No
122,179770,Yes
123,42405,Yes
124,21818,No
125,7626,No
126,199247,No
127,179398,Yes
128,121090,Yes
129,20066,No
130,109656,Yes
131,140177,Yes
132,112692,Yes
133,194372,Yes
134,206510,No
135,82344,Yes
136,3264,No
137,84099,No
138,187661,Yes
139,154280,No
140,39334,Yes
141,116955,No
142,120309,Yes
143,129759,No
144,185486,No
145,204657,No
146,93202,Yes
147,41818,Yes
148,125958,No
149,134413,No
150,96716,No
151,69710,No
152,13529,No
153,123699,No
154,98132,Yes
155,111967,Yes
156,58229,Yes
157,753,No
158,43988,No
159,199519,Yes
160,107676,Yes
161,164515,No
162,69666,No
163,133739,No
164,5743,No
165,43362,No
166,134452,No
167,166593,Yes
168,79600,Yes
169,79096,Yes
170,7601,No
171,158653,Yes
172,94547,Yes
173,123519,No
174,203106,Yes
175,17446,No
176,83339,Yes
177,20664,No
178,76085,Yes
179,93561,No
180,149362,No
181,73425,Yes
182,67374,No
183,10964,No
184,1892,No
185,144712,No
186,55161,Yes
187,2718,No
188,37368,No
189,5439,No
190,175433,Yes
191,189392,Yes
192,117754,No
193,56718,Yes
194,48112,No
195,4051,No
196,88538,Yes
197,165147,No
198,174252,Yes
199,173875,Yes
200,158538,No
201,153366,Yes
202,92183,Yes
203,86164,Yes
204,184345,No
205,50785,Yes
206,40266,No
207,81506,No
208,37941,No
209,60835,Yes
210,203408,No
211,162926,Yes
212,18086,No
213,203439,No
214,139896,No
215,43487,Yes
216,113064,Yes
217,3971,Yes
218,196926,No
219,15639,No
220,125697,Yes
221,31347,No
222,105872,Yes
223,26742,No
224,88122,Yes
225,105413,Yes
226,43177,No
227,80089,Yes
228,93623,No
229,178667,Yes
230,107027,Yes
231,92642,Yes
232,29409,No
233,74826,Yes
234,129575,Yes
235,69903,Yes
236,81027,No
237,131167,Yes
238,16050,No
239,201287,Yes
240,111194,No
241,11333,No
242,11204,No
243,209912,No
